objectid,originalfilename,filename,title,originaltitle,tributary,description,creator,callnumber,itemnumber,collectionname,repository,date,archivaldate,subject,damspace,damtime,submerged,location,latitude,longitude,sourcelink,format,type,language,display_template,object_location,image_small,image_thumb
sediment0,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/11840/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment0.jpg,Photographer Tad Nichols on his back in Glen Canyon sand,"Tad - Glen Canyon [On his back in the sand, with camera pointed upward].",,,"Nichols, Tad",NAU.PH.99.3.1.44.53,27649,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,1969,sediment; wonder; exploration; atmosphere,Above dam,Post-dam ,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/11840/rec/1,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment0.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment0_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment0_th.jpg
sediment1,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/13462/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment1.jpg,Tad Nichols collects water from a cliffside spring,[Tad Nichols collecting water at cliffside (from seep or spring).],,"Seeps are places where water pushes out from a cliff face. As rain falls on sandstone ground, it percolates down through the porous rock until it reaches a layer of shale, whose sedimentary particulates are gathered too tightly to allow water to pass. The water then moves sideways along the shale surface until it pushes out through the cliff wall. Water can spend years travelling through the rock before it emerges from a seep. ","Nichols, Tad",NAU.PH.99.3.1.64.13,21832,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1977,1977,sediment; water; springs,Above dam,Post-dam ,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/13462/rec/7,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment1.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment1_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment1_th.jpg
sediment2,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/12119/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment2.jpg,Visitors touching stone in Redbud Pass,Feeling stone - Redbud Pass [Tad Nichols and three others].,,,"Nichols, Tad",NAU.PH.99.3.1.61.33,26701,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1975,1975,land; wonder; atmosphere; Rainbow Bridge,Above dam,Post-dam ,,Glen Canyon; Rainbow Bridge,37.05538545,-110.9467634,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/12119/rec/8,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment2.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment2_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment2_th.jpg
sediment3,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22881/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment3.jpg,Tad Nichols in Upper Cathedral Canyon,Tad Nichols - Upper Cathedral Canyon.,,,"Nichols, Tad",NAU.PH.99.3.144.62,27657,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,1969,sediment; land; water,Above dam,Post-dam ,,Glen Canyon,37.0792293,-111.0062077,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/22881/rec/11,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment3.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment3_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment3_th.jpg
sediment4,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/17302/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20tad%20nichols,sediment4.jpg,Tad Nichols sitting on rock steps at Crossing of the Fathers,Tad sitting on rock steps at Crossing of the Fathers [This image appears in Tad's Glen Canyon book on page 136].,,"Tad Nichols sitting on rock steps at a potential Crossing of the Fathers site. In 1776, Franciscan preists, Fathers Escalante and Dominguez wandered along the Colorado River for a month before they found an accessible crossing. The expedition had set out from Santa Fe, New Mexico to search for an overland route to reach a Catholic Mission in Monterrey, California, but was forced to backtrack as winter approached. Indigenous guides had intially led them safely across the river, but on their return, their guide, who was 12 years old, suddenly quit after witnessing severe punishment of a servant. Lost and out of supplies, the party was forced to eat their horses.  The exact location of this crossing is unkown, but the Fathers remarked in their journal that the crossing was made possible by carving steps down the sandstone cliffs, and by swimming across a part of the river that had been made narrow by sand bars and the river's bend. The Crossing of the Fathers is now under Lake Powell's waters. ","Nichols, Tad",NAU.PH.99.3.1.15.132,28571,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1958,1958,sediment; humans; conquistadors,Above dam,Pre-dam,submerged,Glen Canyon; Crossing of the Fathers,37.08051318,-111.3133762,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/17302/rec/29,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment4.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment4_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment4_th.jpg
sediment5,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9837/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment5.jpg,Tad Nichols in Dungeon Canyon,[Tad Nichols in Dungeon Canyon; this image appears in Tad's Glen Canyon book on page 119.],,"Tad Nichols stands at the bottom of Dungeon Canyon. Dungeon Canyon was once one of Glen Canyon's deepest side canyons. It was submerged when the lake backed up behind Glen Canyon Dam after its completion in 1966, but as the lake dries up, Dungeon Canyon is beginning to re-emerge. ","Nichols, Tad",NAU.PH.99.3.1.21.14,23130,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,sediment; water; wonder; atmosphere,Above dam,Pre-dam,,Glen Canyon; Dungeon Canyon,37.06972305,-111.1509796,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9837/rec/61,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment5.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment5_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment5_th.jpg
sediment6,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/11074/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment6.jpg,Beaver dam in Glen Canyon,"[Tad Nichols wading, pointing toward beaver dam.]",,"Beavers have been making dams on the Colorado River long before the Bureau of Reclamation built Glen Canyon Dam. But beaver dams are constructed of loose stick piles, not solid concrete, and therefore allow water and small material to pass through. Beaver dams were also temporary; before Glen Canyon Dam, spring floods scoured the landscape,  washing away not only beavers' dams but also the river banks where beavers made their dens, the willow and cottonwood that beavers depend on for food. As a result, there were fewer beavers around Glen Canyon pre-dam. As beaver populations have blossomed, willow has declined, easing the way for  invasive tamarisk to take root. ","Nichols, Tad",NAU.PH.99.3.1.19.5,22876,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,animals; beaver; dam; biota,Above dam,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/11074/rec/76,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment6.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment6_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment6_th.jpg
sediment7,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/13056/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment7.jpg,Aerial view of Glen Canyon and Mystery (Anasazi) Canyon,[Glen Canyon aerial view - Entrance to Mystery Canyon.],,,"Nichols, Tad",NAU.PH.99.3.1.68.29,47129,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1957,1950-1965,land; aridity; atmosphere; water; river,Above dam,Pre-dam,submerged,Glen Canyon; Mystery Canyon,37.14678115,-110.9419214,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/13056/rec/87,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment7.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment7_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment7_th.jpg
sediment8,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10755/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment8.jpg,Navajo sandstone crossbedding,Navajo Sandstone.,,"Navajo Sandstone was blown in on wind systems 190 million years ago, during the Early Jurrasic Period. The crossbedding reaveals these winds originated from the north-north west, and the particulates themselves are well-rounded and fine quartz, evidence of a long journey. Geologists have found zircon in the particulates, which shows they came from the Appalachain mountains, carried by an ancient river system and then blown by desert winds. They formed sand dunes larger than the Sahara, (20m) which will leave no record behind. It is the largest aeolian record on earth. These winds still sculpt the region today. Scientists have shown that much of the sandstone was ""churned by insects and trampled by reptiles (Loope and Rowe 2003, p. 223). Evidence of stromatalites has also been found, which are laminated growth structures created by microbes. ","Nichols, Tad",NAU.PH.99.3.1.18.79,23927,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,sediment; land; atmosphere; wind;,,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10755/rec/99,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment8.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment8_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment8_th.jpg
sediment9,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21507/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20imagehttps://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21507/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20imagehttps://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21507/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment9.jpg,Rectilinear petroglyph,[Petroglyph - Rectilinear design within circle.],,"There are countless petroglyphs around Glen Canyon, some of which have been buried by Lake Powell. Petroglyphs were created by the many Indigenous individuals and communities that have dwelt with Glen Canyon, and often times mark a culturally or personally importance place. The contrast in color between the glyph and the surrounding stone relies on scraping away the desert varnish, which forms when the rock interacts with air, water, minerals, and microorganisims over thousands of years. ","Nichols, Tad",NAU.PH.99.3.1.19.58,23005,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,petroglyphs; humans; art;,,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/21507/rec/104,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment9.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment9_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment9_th.jpg
sediment10,,sediment10.mp4,Fragments of Glen Canyon,[Glen Canyon River Trip],,,"Cogswell, Father John",NAU.MI.2006.37.1,160828,"Cogswell, Father John"," Special Collections and Archives, Cline Library, Northern Arizona University.",1950,1950,sediment; water,Above dam,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/110342/rec/1,video/mp4,Video;MovingImage,eng,video,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment10.mp4,,
sediment11,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/16900/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment11.jpg,Cliff wall surface in Glen Canyon,[Cliff wall surface in Glen Canyon.],,,"Nichols, Tad",NAU.PH.99.3.1.9.50,19818,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,1956,sediment; land,Above dam,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/16900/rec/108,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment11.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment11_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment11_th.jpg
sediment12,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21696/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment12.jpg,Markings in the sand,[Markings in the sand],,,"Nichols, Tad",NAU.PH.99.3.1.27.121,18270,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1962,1962,sediment; water; tracks,Above dam,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/21696/rec/119,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment12.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment12_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment12_th.jpg
sediment13,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21697/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment13.jpg,"Boulders, beach, and cliffs at Meskin bar",[Beach and boulders - Camp above Meskin bar],,,"Nichols, Tad",NAU.PH.99.3.1.27.133,18278,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1962,1962,sediment; land; water,Above dam,Pre-dam,submerged,Glen Canyon,37.02543433,-111.2489592,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/21697/rec/125,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment13.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment13_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment13_th.jpg
sediment14,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/16901/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment14.jpg,Tafoni in Glen Canyon,[Holes in rock surface in Glen Canyon - Mile 86 1/4.],,"Soft sandstone often develop hollows across its face called tafoni. These caverns are scooped out by weathering processes such as water, wind, and chemical reactions, revealing where sediment particulates were bound together less firmly. ","Nichols, Tad",NAU.PH.99.3.1.9.51,19819,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,1956,sediment; wind; water; microbes; biota; atmosphere,Above dam,Pre-dam,,Glen Canyon,37.261822,-110.861396,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/16901/rec/111,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment14.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment14_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment14_th.jpg
sediment15,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9410/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment15.jpg,Sand bar at Crossing of the Fathers site,Crossing of the Fathers [This image appears in Tad's Glen Canyon book on page 134.].,,"Possible Crossing of the Fathers site. In 1776, Franciscan preists, Fathers Escalante and Dominguez wandered along the Colorado River for a month before they found an accessible crossing. The expedition had set out from Santa Fe, New Mexico to search for an overland route to reach a Catholic Mission in Monterrey, California, but was forced to backtrack as winter approached. Indigenous guides had intially led them safely across the river, but on their return their guide, who was 12 years old, suddenly quit after witnessing severe punishment of a servant. Lost and out of supplies, the party was forced to eat their horses.  The exact location of this crossing is unkown, but the Fathers remarked in their journal that the crossing was made possible by carving steps down the sandstone cliffs, and by swimming across a part of the river that had been made narrow by sand bars and the river's bend. The Crossing of the Fathers is now under Lake Powell's waters. ","Nichols, Tad",NAU.PH.99.3.1.8.120,29808,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1955,1955,sediment; humans; conquistadors; water,Above dam,Pre-dam,submerged,Glen Canyon; Crossing of the Fathers,37.08051318,-111.3133762,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9410/rec/134,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment15.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment15_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment15_th.jpg
sediment16,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10181/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment16.jpg,Pedestal rock formation near Willow Creek,Table at head of Willow Creek.,,"Table or pedestal rocks such as this one form when sandstone's lower layers erode more readily than its upper layers. Particulates in the lower strata may be cemented together less tightly. If the sandsone is composed of quartz sediment, it is likely to be more durable and erosion resistant; sandstone made of feldspar and clay tends to be less tightly bound. Pedestal rocks can also form as wind plucks sand from the ground and blasts the rock. Typically sand blasts are strongest at lower heights. ","Nichols, Tad",NAU.PH.99.3.1.56.46,27802,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1971,1971,sediment; atmosphere; land; wind,Above dam,Post-dam ,,Glen Canyon; Willow Creek; Escalante Canyon,37.322372,-111.0105,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10181/rec/146,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment16.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment16_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment16_th.jpg
sediment17,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/18629/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-%20AND%20image,sediment17.jpg,Forbidding Canyon,[Forbidding Canyon.],,"""An adequate conception of the ruggedness of this particular region cannot be conveyed in words,"" wrote Earl Morris during his 1921 expedition into Forbidding Canyon. Morris had joined Charles L. Bernheimer's expedition to find an easier route between the main stem of the Colorado River and Rainbow Bridge, a natural arch which has captivated and drawn humans to it for millenia and is sacred for many Indigenous groups including the Navajo, Hopi, San Juan Southern Paiute, Kaibab Paiute, and White Mesa Ute. The group found little hope that Forbidding Canyon would make for an easier journey as it formed ""a maze of tortuous canons winding in and out among dumpling-like knobs of rock, too hopelessly rough to be crossed"" according to Morris. Eventually the group returned with dynamite to blast obstacles from their path. This trail became known as the Bernheimer trail. Forbidding Canyon flooded deep with water after Glen Canyon Dam was built, and it has now become the most visited tributary of Glen Canyon as 200,000-300,000 tourists motor boat through it to visit Rainbow Bridge. ","Nichols, Tad",NAU.PH.99.3.1.13.36,17905,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1958,1958,sediment; water; river,Above dam,Pre-dam,submerged,Glen Canyon; Forbidding Canyon,37.10342821,-110.9713319,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/18629/rec/149,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment17.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment17_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment17_th.jpg
sediment18,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9413/default.jpg,sediment18.jpg,Possible Crossing of the Fathers site,The Crossing of the Fathers [This photo appears as a background image in Tad's Glen Canyon book on page 136.].,,"Possible Crossing of the Fathers site. In 1776, Franciscan preists, Fathers Escalante and Dominguez wandered along the Colorado River for a month before they found an accessible crossing. The expedition had set out from Santa Fe, New Mexico to search for an overland route to reach a Catholic Mission in Monterrey, California, but was forced to backtrack as winter approached. Indigenous guides had intially led them safely across the river, but on their return their guide, who was 12 years old, suddenly quit after witnessing severe punishment of a servant. Lost and out of supplies, the party was forced to eat their horses.  The exact location of this crossing is unkown, but the Fathers remarked in their journal that the crossing was made possible by carving steps down the sandstone cliffs, and by swimming across a part of the river that had been made narrow by sand bars and the river's bend. The Crossing of the Fathers is now under Lake Powell's waters. ","Nichols, Tad",NAU.PH.99.3.1.8.116,29764,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1955,1955,sediment; land; humans; conquistadors; river; water,Above dam,Pre-dam,submerged,Glen Canyon; Crossing of the Fathers,37.08051318,-111.3133762,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9413/rec/150,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment18.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment18_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment18_th.jpg
sediment19,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/10369/default.jpg,sediment19.jpg,Ruin in Moqui Canyon,Moki Can. ruin - Undisturbed [Moqui Canyon].,,"Ancestral Puebloans dwelt in and around Glen Canyon for thousands of generations, building thousands of dwelling structures up and down the Canyon and its tributaries. These dwellings were typically constructed with stone fragments, by mixing sediment with water and straw to make adobe, and by utlizing the land's natural topographical features such as acloves or mesa tops.  ","Nichols, Tad",NAU.PH.99.3.1.45.5,27709,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,1969,sediment; land; humans; dwellings; infrastructure; microbes; biota,Above dam,Pre-dam,,Glen Canyon; Moqui Canyon,37.48423216,-110.6409317,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/10369/rec/154,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment19.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment19_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment19_th.jpg
sediment20,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9602/default.jpg,sediment20.jpg,Construction of Glen Canyon Dam,[Looking down at construction below Glen Canyon Dam.],,"The foundations of the Glen Canyon Dam were laid in the Colorado River's old bed. The river's water first had to be rerouted through temporary diversion tunnels, which took three years to dig. The diversion tunnels finished behind schedule as the soft sandstone continuously broke apart and collapsed into the tunnels. In 1958, for example, 5,200 cubic yards, or 500 dump trucks worth of sediment cleaved away in the left diversion tunnel. Much of the sand and rock used in Glen Canyon's concrete walls comes from Wahweep Canyon, which is a nearby tributary just five miles away from the dam site. ","Nichols, Tad",NAU.PH.99.3.1.21.83,23251,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,infrastructure; dam; land; humans,Dam,Dam,submerged,Glen Canyon; Glen Canyon Dam,36.937818,-111.48427,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9602/rec/161,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment20.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment20_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment20_th.jpg
sediment21,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/13632/default.jpg,sediment21.jpg,Georgia O'Keefe selecting stones on the shores of Lake Powell,[Georgia O'Keeffe selecting stones - Shore of Lake Powell.],,"As Lake Powell began to fill, artist Georgia O'Keefe took several boat trips to visit the drowning canyon. She spent her time in the canyon painting, taking photographs, and collecting natural objects. ","Nichols, Tad",NAU.PH.99.3.1.48.4,19596,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1969,1969,humans; sediment; land; wonder; atmosphere,Above dam,Post-dam ,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/13632/rec/177,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment21.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment21_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment21_th.jpg
sediment22,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/16706/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-,sediment22.jpg,Ripple laminae in Cottonwood Canyon,"[Cottonwood Creek - Right bank, ripple laminae.]",humans/#rainbow-bridge,"Each layer of the sediment laminae was laid by a distinct geologic event--such as a spring flood which deposited a load of sediment all at once. The ripples forms are carved by water, and keep a record of the river's current. Ripples form as water erodes sediment on the upstream (stoss) side of a bank and quickly deposit it on the downstream (lee) side.  These scallop-shaped structures are called catenary ripples, which suggest a faster flow. Today there is no current in the bottom reaches of Cottonwood Canyon as it lies below Lake Powell.  ","Nichols, Tad",NAU.PH.99.3.1.9.129,20146,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,1956,sediment; land; river; water; tracks,Above dam,Pre-dam,submerged,Glen Canyon; Cottonwood Canyon,37.236153,-110.873481,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/16706/rec/223,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment22.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment22_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment22_th.jpg
sediment23,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22852/default.jpg?highlightTerms=nichols%2C%20tad%2C%201911-,sediment23.jpg,Tapestry wall in Glen Canyon,[Tapestry wall in Glen Canyon.],,"The vertical stripes on this canyon wall are known as desert varnish, and is commonly found on sandstone, particularly on north and east-facing walls. The varnish is composed of a thin gloss of sediment, minerals, and microbes interacting with one another over long periods of time, and is encouraged by water seeps, which might account for the striping patterns seen here. It takes more than 1,000 years for the varnish to accumulate to the width of a human hair. Much about the formation of desert varnish is still a mystery--it is not fully understood why varnish forms in some conditions and not others. Indigenous artists often chose varnished surfaces to etch petroglyphs as the underlying sandstone constrasted with the darknened varnish. ","Nichols, Tad",NAU.PH.99.3.1.18.12,23761,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,sediment; microbes; biota; tracks,Above dam,Pre-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/22852/rec/235,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment23.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment23_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment23_th.jpg
