objectid,originalfilename,filename,title,originaltitle,tributary,description,creator,callnumber,itemnumber,collectionname,repository,date,archivaldate,subject,damspace,damtime,submerged,location,latitude,longitude,sourcelink,format,type,language,display_template,object_location,image_small,image_thumb
sediment48,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/17317/default.jpg,sediment48.jpg,Ancestral Puebloan loom holes,Anasazi loom holes.,,,"Nichols, Tad",NAU.PH.99.3.1.15.78,28473,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1958,1958,sediment; humans; loom holes; tracks,,Pre-dam,,,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/17317/rec/791,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment48.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment48_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment48_th.jpg
sediment49,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/17318/default.jpg,sediment49.jpg,Ancestral Puebloan loom holes,Anasazi loom holes.,/humans/#inscriptions,,"Nichols, Tad",NAU.PH.99.3.1.15.79,28474,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1958,1958,sediment; humans; loom holes; tracks,,Pre-dam,,,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/17318/rec/797,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment49.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment49_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment49_th.jpg
sediment50,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/23083/default.jpg,sediment50.jpg,Navajo Twins rock formation,"Navajo Twins - Bluff, Utah [rock formations].",,,"Nichols, Tad",NAU.PH.99.3.1.12.99,21745,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1957,1957,sediment; land; ,,Pre-dam,,Bluff; Navajo Twins,37.28794322,-109.5476355,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/23083/rec/869,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment50.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment50_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment50_th.jpg
sediment51,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/11188/default.jpg,sediment51.jpg,Tracks in sandstone,Geology. Tracks in S.S. [sandstone] Tsegi-ot-Sosi. Aug. '53.,,,"Nichols, Tad",NAU.PH.99.3.7.5.21,64178,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1953,1953,sediment; biota; animals; tracks,,Pre-dam,,,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/11188/rec/1058,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment51.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment51_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment51_th.jpg
sediment52,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/12148/default.jpg,sediment52.jpg,Lichen on a sandstone wall,[Lichen.],,,"Nichols, Tad",NAU.PH.99.3.1.62.40,24940,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1976,1976,sediment; microbes; lichen; biota,,Post-dam,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/12148/rec/1098,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment52.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment52_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment52_th.jpg
sediment53,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/11579/default.jpg,sediment53.jpg,Navajo sheep herder,Navajo sheep herder. [with herd of sheep].,,,"Nichols, Tad",NAU.PH.99.3.7.7.49,68670,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1948,1948,sediment; humans; sheep; animals; biota,,Pre-dam,,,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/11579/rec/1,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment53.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment53_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment53_th.jpg
sediment54,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/16756/default.jpg,sediment54.jpg,Figure in Dungeon Canyon,[Figure in Dungeon Canyon.],/atmosphere/#images-of-a-lost-world,,"Nichols, Tad",NAU.PH.99.3.1.9.93,19941,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1956,1956,sediment; atmosphere; wonder; tourism,Above Dam,Pre-dam,,Glen Canyon; Dungeon Canyon,37.06972305,-111.1509796,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/16756/rec/1100,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment54.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment54_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment54_th.jpg
sediment55,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/21336/default.jpg,sediment55.jpg,Date inscription in rock: 1933,[Date inscription in rock: 1933.],/atmosphere/#formations; /humans/#inscriptions,,"Nichols, Tad",NAU.PH.99.3.1.19.56,23002,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1960,1960,sediment; humans; exploration; tracks; ,,,,Glen Canyon,,,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/21336/rec/606,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment55.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment55_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment55_th.jpg
sediment56,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/9440/default.jpg,sediment56.jpg,Ruins of mining machinery at Olympia Bar,Ruins of mining structure and machinery at Olympia Bar [constructed title] [This image appears in Tad's Glen Canyon book on page 24.].,,,"Nichols, Tad",NAU.PH.99.3.1.8.107,29750,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1955,1955,sediment; mining; infrastructure; humans,Above Dam,Pre-Dam,submerged,Glen Canyon; Olympia Bar,37.59503187,-110.6007059,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/9440/rec/669,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment56.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment56_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment56_th.jpg
sediment57,https://cdm16748.contentdm.oclc.org/digital/api/singleitem/image/cpa/22677/default.jpg,sediment57.jpg,Steps near Hole-in-the-Rock,"2 sets steps, 1 mile upstream from Hole-in-Rock.",,,"Nichols, Tad",NAU.PH.99.3.1.62.48,25886,"Nichols, Tad"," Special Collections and Archives, Cline Library, Northern Arizona University.",1976,1976,sediment; humans; Mormons,Above Dam,Post-Dam,,Glen Canyon; Hole-in-the-Rock,37.2634192,-110.8734993,https://cdm16748.contentdm.oclc.org/digital/collection/cpa/id/22677/rec/485,image/jpeg,Image;StillImage,eng,image,https://cdil.lib.uidaho.edu/sedimentation/objects/sediment57.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/small/sediment57_sm.jpg,https://cdil.lib.uidaho.edu/sedimentation/objects/thumbs/sediment57_th.jpg
