objectid,title,filename,author,description,link,format,type,language,display_template,object_location,image_small,image_thumb
storying,Storying Extinction: Responding to the Loss of North Idaho's Mountain Caribou,storying.jpg,Jack Kredell; Chris Lamb,"Multidisciplinary, ""deep map"" essaying of the extirpation of North Idaho's Caribou population.",https://cdil.lib.uidaho.edu/storying-extinction/,image/jpeg,Image;StillImage,eng,image,/objects/Storying Extinction: Responding to the Loss of North Idaho's Mountain Caribou,/objects/small/storying_sm.jpg,/objects/thumbs/storying_th.jpg
keepingwatch,Keeping Watch,keepingwatch.jpg,Michael Decker,"A “deep” spatial, historical, and biocultural setting of the fire lookout tower in Idaho.",https://cdil.lib.uidaho.edu/keeping-watch/,image/jpeg,Image;StillImage,eng,image,/objects/Keeping Watch,/objects/small/keepingwatch_sm.jpg,/objects/thumbs/keepingwatch_th.jpg
firelines,Fire Lines: Exploring the Legacy of 1910's Great Fire in the Northwes,firelines.jpg,Isabelle Marlens,"A multimodal essay by Isabel Marlens using threads from archival material, alongside Indigenous fire knowledge, ideas from Western science—both historical and current—literature, psychology, and history in an effort to understand the lasting effects of 1910's Great Fire on the landscapes of the Northwest.",https://cdil.lib.uidaho.edu/fire-lines/,image/jpeg,Image;StillImage,eng,image,/objects/Fire Lines: Exploring the Legacy of 1910's Great Fire in the Northwes,/objects/small/firelines_sm.jpg,/objects/thumbs/firelines_th.jpg
gayrodeo,The Voices of Gay Rodeo ,gayrodeo.jpg,Dr. Rebecca Scofield ,Ongoing oral history project featuring conversations with members of the International Gay Rodeo Association (IGRA).,https://www.voicesofgayrodeo.com/,image/jpeg,Image;StillImage,eng,image,/objects/The Voices of Gay Rodeo ,/objects/small/gayrodeo_sm.jpg,/objects/thumbs/gayrodeo_th.jpg
